Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32498119,"The Secret Life of the Mind: How Your Brain Thinks, Feels, and Decides",Mariano Sigman,"Sigman, Mariano",,"=""0316549622""","=""9780316549622""",2,4.00,"Little, Brown Spark",Hardcover,277,2017,2015,2023/04/18,2023/01/21,,,read,Esperaba otra cosa,,,1,0
45028173,Hábitos atómicos,James Clear,"Clear, James",,"=""6077476722""","=""9786077476726""",4,4.32,Paidos México,Kindle Edition,339,2019,2018,2023/01/25,2023/01/21,,,read,,,,1,0
45479254,Ella no está,Joy Fielding,"Fielding, Joy",,"=""8416517223""","=""9788416517220""",0,3.89,Umbriel,Paperback,384,2019,2016,2021/08/08,2021/08/08,,,read,,,,1,0
223905891,López López,Tomás Downey,"Downey, Tomás",,"=""8412888952""","=""9788412888959""",4,4.02,Fiordo Editorial,Paperback,184,2025,,2025/05/21,2025/04/12,,,read,,,,1,0
108519861,El viento conoce mi nombre,Isabel Allende,"Allende, Isabel",,"=""8401032008""","=""9788401032004""",4,4.01,Plaza & Janés,Hardcover,348,2023,2023,2025/05/04,2025/05/04,,,read,,,,1,0
49185482,Esa locura llamada amor,Nuria Rivera,"Rivera, Nuria",,"=""8417664815""","=""9788417664817""",3,3.63,Vergara,Paperback,336,2020,,2025/05/04,2025/05/02,,,read,,,,1,0
56591408,Las gratitudes,Delphine de Vigan,"Vigan, Delphine de",Pablo Martín Sánchez,"=""8433980831""","=""9788433980830""",4,4.34,Anagrama,Paperback,176,2021,2019,2025/04/30,2025/04/17,,,read,,,,1,0
50752940,Teoría de la gravedad,Leila Guerriero,"Guerriero, Leila",,"=""8417007997""","=""9788417007997""",4,4.33,Libros del Asteroide,Paperback,212,2019,,2025/04/27,2025/03/29,,,read,,,,1,0
54304287,The Founders: The Story of Paypal and the Entrepreneurs Who Shaped Silicon Valley,Jimmy Soni,"Soni, Jimmy",,"=""1501197266""","=""9781501197260""",0,4.23,Simon & Schuster,Hardcover,496,2022,2022,,2025/04/10,currently-reading,currently-reading (#7),currently-reading,,,,1,0
205226950,El primer café del día,Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",,"=""6073840144""","=""9786073840149""",4,3.88,PLAZA & JANES,Paperback,272,2024,2018,2025/04/09,2024/04/17,,,read,,,,1,0
203982344,La llamada: Un retrato,Leila Guerriero,"Guerriero, Leila",,"=""8433922068""","=""9788433922069""",0,4.40,Editorial Anagrama,Paperback,432,2024,2024,,2025/03/29,to-read,to-read (#17),to-read,,,,0,0
57398262,Los nombres propios,Marta Jiménez Serrano,"Serrano, Marta Jiménez",,"=""8418342250""","=""9788418342257""",0,4.28,Editorial Sexto Piso,Paperback,236,2021,2021,,2025/03/29,to-read,to-read (#16),to-read,,,,0,0
50272339,Poeta chileno,Alejandro Zambra,"Zambra, Alejandro",,"=""8433998935""","=""9788433998934""",4,4.35,Anagrama,Paperback,421,2020,2020,2025/03/11,2025/02/05,,,read,,,,1,0
52324086,Confesión,Martín Kohan,"Kohan, Martín",,"=""8433998994""","=""9788433998996""",3,3.93,Anagrama,Paperback,200,2020,2020,2025/02/28,2025/02/25,,,read,La primera parte podrían haber sido 50 hojas menos. La segunda y tercera parte muy buenas.  <br/>,,,1,0
62201922,Los reyes de la casa,Delphine de Vigan,"Vigan, Delphine de",Pablo Martín Sánchez,"=""8433981269""","=""9788433981264""",5,3.93,Anagrama,Paperback,344,2022,2021,2025/02/25,2025/02/23,,,read,,,,1,0
22533436,El brillo de las luciérnagas,Paul Pen,"Pen, Paul",,"=""8490328226""","=""9788490328224""",2,3.72,DEBOLS!LLO,Paperback,368,2014,2013,2025/02/23,2025/02/08,,,read,La idea estaba bien y es muy atrapante pero no me gustó el final para nada ,,,1,0
39330921,Conversaciones entre amigos,Sally Rooney,"Rooney, Sally",Ana García Casadesús,"=""""","=""""",3,3.73,Literatura Random House,Paperback,336,2018,2017,2025/02/08,2023/01/21,,,read,,,,1,0
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",0,3.96,"Little, Brown",Hardcover,771,2013,2013,,2023/01/21,currently-reading,currently-reading (#6),currently-reading,,,,1,0
45487462,Cometierra,Dolores Reyes,"Reyes, Dolores",,"=""9874063653""","=""9789874063656""",3,3.63,Sigilo,Paperback,176,2019,2019,2024/12/08,2024/12/08,,,read,,,,1,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",0,3.99,Scholastic Press,Kindle Edition,652,2020,2020,,2024/12/08,to-read,to-read (#15),to-read,,,,0,0
34912895,The Great Alone,Kristin Hannah,"Hannah, Kristin",,"=""""","=""""",0,4.46,St. Martin's Press,Kindle Edition,435,2018,2018,,2024/12/08,to-read,to-read (#14),to-read,,,,0,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.31,Scribner,Hardcover,531,2014,2014,,2024/12/08,to-read,to-read (#13),to-read,,,,0,0
28341458,Los árboles caídos también son el bosque,Alejandra Kamiya,"Kamiya, Alejandra",,"=""9874729309""","=""9789874729309""",0,4.23,Bajo La Luna,Paperback,120,2015,2015,,2024/12/08,to-read,to-read (#12),to-read,,,,0,0
